id,created_at,text
18,Wed Jan 24 18:08:28 +0000 2024,"அராஜக திமுக அரசை விரைவில் வரும் தேர்தலில் வீட்டிற்கும் அனுப்பும் நேரம் வந்துக் கொண்டே உள்ளது..

#Pmk #AnbumaniRamadoss #PMK2_0 #TNGovt #Dmk #DMKFails #TamilNadu #Salem #ArulRamadossMLA #TN_25படைவீடுபாமக https://t.co/CQ3WVrOzOi"
19,Wed Jan 24 18:07:34 +0000 2024,It's more like dictatorship by #DMK government  #DMKFailsTN  #Kilambakkam #Koyembed #Cmbt  @Udhaystalin @CMOTamilnadu @mkstalin @PKSekarbabu
20,Wed Jan 24 18:01:42 +0000 2024,"Absolute mess here in #Kilambakkam Bus Stand. 

This #DMK Govt. led by Mr.@mkstalin is a joke. 

Incompetence is the word.. https://t.co/Oq1DTmRAO4"
21,Wed Jan 24 17:58:52 +0000 2024,"#Kilambakkam
Govt should think the holidays before and can open in February….  Pongal public suffered now in republic holiday…. 
If Omni bus starts a strike it wil be biggest impact for Chennai people….
#Bus #Omni #ADMK #Dmk #RepublicDay #Holiday"
22,Wed Jan 24 17:30:00 +0000 2024,"#BJP’s women wing will educate women, especially those in rural areas about the anti-Hindu policies of the #DMK government, said Mahila Morcha president and #Coimbatore south MLA Vanathi Srinivasan.
Read here:
https://t.co/3lQZSilgdD"
23,Wed Jan 24 17:26:15 +0000 2024,#DMK president #MKStalin while talking about the 2014 #JallikattuProtests says that people in Auto rickshaw were burnt alive in Chennai Marina Beach by the then ruling @AIADMKOfficial government. ‼️⁉️🙄😳😧 https://t.co/dMKa7WbAgw
24,Wed Jan 24 17:19:40 +0000 2024,"FM Nirmala Sitharaman And Hindus Subjected To Mockery In The DMK Youth Wing Conference Held In Salem; DMK Udhayanidhi Stalin Enjoyed It 

#DMK #DravidianModel #NirmalaSitharaman #UdhayanidhiStalin #Hindus #TamilNadu 

 https://t.co/bZgvH6dyPP"
25,Wed Jan 24 17:16:30 +0000 2024,"From the upcoming #LoksabhaElections2024 onwards the competition is between the #DMK @arivalayam and the #AIADMK @AIADMKOfficial on gets wiped-out first in #Tamilnadu. 
Given the looks of it, the AIADMK seems to be sprinting a 100m dash;the DMK is warming up for the 200m run!"
26,Wed Jan 24 17:13:24 +0000 2024,"""பள்ளி மாணவர்கள் காலில் விழுந்து மன்னிப்பு கேட்ட பா.ம.க எம்.எல்.ஏ""

#Salem #PMK #students #ArulRamadossMLA #PMK2_0 #AnbumaniRamadoss #Dmk #திமுக #திமுககேடுதரும் #DMKFails #DMKGovt #TN_25படைவீடுபாமக

 https://t.co/5T23dEXXk7"
27,Wed Jan 24 17:08:46 +0000 2024,"#திருச்சி  #ஜனவரி25

#முத்தமிழறிஞர் #டாக்டர்_கலைஞர்  நூற்றாண்டு திருவுருவச் சிலை திறப்பு விழா 

#AnbilMaheshPoyyamozhi 
#Anbil_Mahesh_Anna #UdhaynidhiStalin 
#MKStalin #CMMKStalin 
#Politician #politics #anbil_for_ever  #அன்பிலகம் #trichy_mohan #DravidianModel #DMK #trichymohan28 https://t.co/o8fVrd2aCE"
28,Wed Jan 24 16:55:54 +0000 2024,"காஞ்சிபுரம் தெற்கு மாவட்ட திமுக மற்றும் காஞ்சிபுரம் மாநகர கழகம் 🏴🚩
#மொழிப்போர்_தியாகிகளுக்கு #வீரவணக்கம் நாள் (25.01.2024) @arivalayam @DMKKanchipuram #dmk https://t.co/ZqafKI69s2"
29,Wed Jan 24 16:55:28 +0000 2024,'@SavukkuOfficial i support everyone anyone except #DMK
30,Wed Jan 24 16:37:25 +0000 2024,"“மம்தா பானர்ஜி விரைந்து நலம் பெற விரும்புகிறேன்”

#TamilNadu | #WestBengal | #MamataBanerjee | #DMK | #MKStalin | #Injury | @arivalayam | @mkstalin | @MamataOfficial | #News7TamilUpdates https://t.co/WgwhEEzPDB"
31,Wed Jan 24 16:31:10 +0000 2024,"இன்று கன்னியாகுமரி மேற்கு மாவட்ட கழக செயலாளர், மாண்புமிகு பால்வளத் துறை அமைச்சர், திரு @Manothangaraj அவர்கள், கழக மகளிரணி செயலாளர் திருமிகு @HelenDa07123213 அவர்கள் மற்றும் கழக நிர்வாகிகளுடன்… 
#DMK #DMKKanyaKumari #திமுகமகளிர்அணி #MKStalin https://t.co/BkFjcVUvWR"
32,Wed Jan 24 16:30:52 +0000 2024,"அதிருப்தியில் கனிமொழி... கோபத்தில் ஸ்டாலின்.... கவிழ்கிறது திமுக   
#dmksalemmanadulive #salemdmkmanadu #udhayanidhi #salem #manadu #mkstalin #udhaynidhistalin #dmk #ஸ்டாலின் #திமுக #இளைஞரணிமாநாடு #DMK #NewsJ 
https://t.co/VflSicAN3z"
