id,created_at,text
18,Mon Jan 29 17:03:56 +0000 2024,"அடேய் டயர்ஸ்🛞 இந்த டயலாக் இங்கே இருந்து தானே எடுத்து உருட்டி இருக்கீங்க 👇👇👇

நேர்கொண்ட பார்வை ,
நேரான வாழ்க்கை,
நெஞ்சை நிமிர்த்து மணிராஜ் வேஷ்ட்டி உடுத்து 😂😂

#ADMK 
#INDIAAlliance https://t.co/ZCNKs3I8dU"
19,Mon Jan 29 16:57:51 +0000 2024,"அரசு பயணத்தில் இவருக்கு என்ன வேளை…? 

இவர் தமிழ்நாடு அமைச்சரவையில் இருப்பவரா…? அல்லது அரசு தலைமை செயலாளரா…?

#ADMK
#DMK #DMKFailsTN #DMKFails #MKStalin #திராவிட_மாடல் #கார்ப்பரேட்_கம்பெனி https://t.co/W7EqKdEM7d"
20,Mon Jan 29 16:48:26 +0000 2024,"மோடி, அமித்ஷாவை எடப்பாடி பகைத்துக்கொள்ளமாட்டார் - ப்ரியன், பத்திரிகையாளர்

Watch Interview : https://t.co/8UmOT7CckT 

#EPS
#OPS
#ADMK
#BJP
#Annamalai
#Priyan
#Modi https://t.co/6xWv3PxhHx"
21,Mon Jan 29 16:46:17 +0000 2024,"'தமிழர் உரிமையை மீட்டெடுப்போம், தமிழகத்தை காப்போம்' எனும் வெற்றி முழக்கத்தோடு தேர்தல் பணிகள் இனிதே ஆரம்பம்!
#ADMK_ERD
#ADMK
@kavinraajadmk https://t.co/zLg9Sb8S6u"
22,Mon Jan 29 16:39:06 +0000 2024,"கண்ணை மூடிக்கொண்டு ஆழ்ந்த தியானத்தில் EPS.. திருப்பதியில் மனைவியுடன் சாமி தரிசனம்!

#edapadipalanisamy | #Tirupathi | #TempleVisit | #EPS | #ADMK | #NewsTamil24x7 https://t.co/BPpewpq6kk"
23,Mon Jan 29 16:37:05 +0000 2024,"தஞ்சாவூர் ஆலோசனைக் கூட்டத்தில் ஐயா OPS பேச்சு!

#Consultativemeeting #சுற்றுப்பயணம் #ThanjavurDistrict #OPanneerselvam #OPS #AIADMK #AIADMKChiefOPS #AIADMK_MGR_AMMA_OPS #ADMK #MudhalvanOPS #PublicOpinion #Theni #OPSForever  (1/2) https://t.co/fgW0vJNZdI"
24,Mon Jan 29 16:30:00 +0000 2024,"சமூக ஆர்வலரை கார் ஏற்றி கொலை முயன்ற அதிமுக நிர்வாகி... கைது செய்து சிறையில் அடைத்த வேலூர் போலிஸ் !

https://t.co/qa4ehZVVO3

#ADMK #Police #arrest #SocialActivist #KalaignarSeithigal"
25,Mon Jan 29 16:20:29 +0000 2024,"கொங்கு மண்டலத்தில் வலுவான கட்சி யார்?
#TN2024Election #DMK #ADMK #BJP"
26,Mon Jan 29 16:17:34 +0000 2024,"``10 ஆண்டுக்கால ஆட்சியில் தமிழ்நாட்டுக்கு பாஜக செய்த துரோகங்களை அம்பலப்படுத்துவோம்!"" - ஜெயக்குமார் #admk https://t.co/hmbEnLGIdL"
27,Mon Jan 29 16:05:22 +0000 2024,"இது
தேனி
பாணி.
நல்ல
முடிவு
தரும்
புதுக்
கோட்டை.
நல்ல
அறிகுறி.
சகுனம்.
#DMK 
#ADMK"
28,Mon Jan 29 16:03:04 +0000 2024,"அம்மா வழியில்...40 தொகுதிகளிலும்...கட்சிகளுக்கு அதிர்ச்சி கொடுத்த EPS வியூகம்..!

#ADMK #EdappadiPalaniswami #IBCTamilnadu

https://t.co/lWb512QqFu"
29,Mon Jan 29 15:58:34 +0000 2024,"4 1/2 வருஷம் பதவிக்கு மட்டும் BJP கூட்டணி வேணும் !

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #palanisaamy https://t.co/eDglltB0LS"
30,Mon Jan 29 15:51:13 +0000 2024,2024 மக்களவை தேர்தளில் 40/40 வெற்றி நிச்சயம் #admk #admkitwing #admk_itwing_insta #admk_it_wing_theni #murukodairamar https://t.co/Synx5Y8oxM
31,Mon Jan 29 15:49:32 +0000 2024,"#TMK vs #DMK vs #ADMK

Gethu katrom upcoming election..😎💥.

Come on Thalaivaaa @actorvijay 🙏 https://t.co/xbVhXrIYEP"
32,Mon Jan 29 15:47:40 +0000 2024,"எத்தனை வருடம் தான் முன்னேற்ற கழகம் என்று பெயர்களை பார்ப்பது!!!??
எப்போது 'முன்னேற்றிய' கழகம் என்று பெயர்கள் பார்க்க போகிறோம்!!!
#ThalapathyVijay #DMK #ADMK"
33,Mon Jan 29 15:41:44 +0000 2024,"#TMK vs #DMK vs #ADMK

Gethu katrom upcoming election..😎💥.

Come on Thalaivaaa @actorvijay 🙏"
34,Mon Jan 29 15:41:19 +0000 2024,"#TMK vs #DMK vs #ADMK

Vaarom daw 🔥"
35,Mon Jan 29 15:40:06 +0000 2024,"#TMK vs #DMK vs #ADMK

Gethu katrom upcoming election..😎💥.

Come on Thalaivaaa @actorvijay 🙏"
36,Mon Jan 29 15:39:34 +0000 2024,#AIADMK #admk #EPS
37,Mon Jan 29 15:39:12 +0000 2024,#ThalapathyVijay #TamilNadu #ADMK #Elections2024 #Senthilbalajicase #นักเรียนแทงกัน #VidaaMuyarachi #AIADMK
38,Mon Jan 29 15:38:55 +0000 2024,#AIADMK #admk #EPS
39,Mon Jan 29 15:38:01 +0000 2024,#ThalapathyVijay #TamilNadu #ADMK #Elections2024 #Senthilbalajicase #นักเรียนแทงกัน #VidaaMuyarachi #AIADMK
40,Mon Jan 29 15:37:38 +0000 2024,"Edappadi-யை முதல்வர் பதவியில் அமர வைத்தது யார் ?

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #palanisaamy https://t.co/CTDvkviNMI"
41,Mon Jan 29 15:13:33 +0000 2024,"தலைக்கனம் தலைக்கேறிய Edappadi K.Palaniswami !

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #palanisaamy https://t.co/nn2In9DeNI"
42,Mon Jan 29 15:10:02 +0000 2024,"#BREAKING | 40 தொகுதிகளிலும் இரட்டை இலை 

#ParliamentElection #ADMK #EPS #NewsTamil24x7 https://t.co/iFARI1ajHD"
43,Mon Jan 29 14:56:41 +0000 2024,"Rangaraj Pandey's Chanakya prediction of Election 2024..

BJP came 2nd Place🏆🏆🏆🏆 with 22% and pushed ADMK into 3rd Place 21%

#Annamalai #BJP #Modi #ADMK #EdappadiPalaniswami #Stalin #DMK 
#Chanakya #survey #Elections2024 https://t.co/raMP1bdovp"
